REF_AREA,TIME_PERIOD,OBS_VALUE
FRA,1993-Q3,2312496.7
IRL,1995-Q4,131516.7
IRL,1996-Q1,137147.7
GBR,2000-Q2,2598055.9
IRL,1997-Q1,147121.5
IRL,1997-Q2,152465.9
IRL,1997-Q3,154821.7
IRL,1997-Q4,157817.9
IRL,1998-Q1,161779.0
IRL,1998-Q2,165785.5
IRL,1995-Q2,128691.6
JPN,2000-Q3,4878813.3
IRL,2000-Q2,198477.6
IRL,2000-Q3,202136.9
IRL,2000-Q4,203198.7
IRL,2001-Q1,206581.1
IRL,2001-Q2,210841.0
IRL,2001-Q3,209920.7
IRL,2001-Q4,213700.0
IRL,2002-Q1,216844.0
IRL,2002-Q2,219524.6
IRL,1995-Q1,127031.4
IRL,1990-Q1,99243.7
IRL,1990-Q2,101287.4
IRL,1990-Q3,102561.3
IRL,1990-Q4,103027.6
IRL,1996-Q2,139137.8
IRL,1996-Q3,137755.2
IRL,1991-Q1,103053.2
USA,1999-Q4,14569280.8
USA,2000-Q1,14622137.2
USA,1992-Q4,11124684.0
USA,1993-Q1,11143255.9
USA,1993-Q2,11208128.7
USA,1993-Q3,11261608.9
USA,1993-Q4,11414783.6
USA,1994-Q1,11525548.4
USA,1994-Q2,11681740.6
USA,1994-Q3,11750030.3
USA,1994-Q4,11884635.1
USA,1991-Q4,10657599.2
USA,1992-Q1,10785197.5
USA,1992-Q2,10902141.8
USA,1992-Q3,11009867.0
USA,2000-Q2,14888448.4
IRL,1991-Q3,103476.3
IRL,1991-Q4,104350.7
IRL,1992-Q1,105476.5
IRL,1992-Q2,106605.8
IRL,1992-Q3,107525.4
IRL,1992-Q4,108188.7
IRL,1993-Q1,108730.3
IRL,1993-Q2,109307.4
IRL,1993-Q3,110087.2
IRL,1993-Q4,111190.3
IRL,1994-Q1,112692.2
IRL,1994-Q2,114641.3
IRL,1994-Q3,117150.7
IRL,1994-Q4,120117.2
IRL,1998-Q3,171633.1
IRL,1998-Q4,168035.0
IRL,1999-Q1,177979.9
IRL,1999-Q2,179628.2
IRL,1995-Q3,129591.9
IRL,2000-Q1,192864.2
ITA,1994-Q3,2465295.5
ITA,1994-Q4,2488811.6
ITA,1995-Q1,2514395.6
ITA,1995-Q2,2514234.2
ITA,1995-Q3,2531184.9
ITA,1995-Q4,2548870.7
ITA,1990-Q1,2367413.3
ITA,1990-Q2,2374628.8
ITA,1990-Q3,2378436.4
ITA,1990-Q4,2362986.4
ITA,1999-Q2,2667481.9
ITA,1999-Q3,2695226.1
ITA,1999-Q4,2735132.9
ITA,2000-Q1,2768728.2
ITA,2000-Q2,2786972.3
ITA,2000-Q3,2812172.0
ITA,2000-Q4,2839420.8
ITA,2001-Q1,2861763.0
ITA,2001-Q2,2859851.9
ITA,2001-Q3,2848838.0
ITA,2001-Q4,2844719.6
ITA,2002-Q1,2848272.4
ITA,2002-Q2,2856146.6
ITA,1991-Q1,2386616.8
ITA,1991-Q2,2399556.3
ITA,1991-Q3,2415250.7
ITA,1991-Q4,2427354.6
ITA,1992-Q1,2438206.9
ITA,1992-Q2,2427767.7
ITA,1992-Q3,2417394.6
ITA,1992-Q4,2407727.8
ITA,1997-Q1,2556960.8
ITA,1997-Q2,2597432.6
ITA,1997-Q3,2609587.1
ITA,1997-Q4,2648225.0
ITA,1998-Q1,2634845.7
ITA,1998-Q2,2650670.7
ITA,1998-Q3,2652706.5
ITA,1998-Q4,2644395.1
ITA,1999-Q1,2657147.4
ITA,1996-Q1,2549106.9
ITA,1996-Q2,2553362.5
ITA,1996-Q3,2558412.1
ITA,1996-Q4,2549607.9
ITA,1993-Q1,2402649.4
USA,2000-Q4,14992605.0
USA,2001-Q1,14943459.4
USA,2001-Q2,15036781.8
USA,2001-Q3,14976538.5
USA,2001-Q4,15017690.4
USA,2002-Q1,15143292.1
USA,2002-Q2,15236076.1
USA,1990-Q1,10586013.9
USA,1990-Q2,10624437.9
USA,1990-Q3,10631511.8
USA,1990-Q4,10534722.1
USA,1991-Q1,10485425.8
USA,1991-Q2,10567179.6
USA,1991-Q3,10620581.7
USA,1995-Q1,11926799.5
USA,1995-Q2,11962379.9
USA,1995-Q3,12064146.9
USA,1995-Q4,12146072.3
USA,1996-Q1,12237052.5
USA,1996-Q2,12441159.7
USA,1996-Q3,12552761.1
USA,1996-Q4,12683105.1
USA,1997-Q1,12764967.4
USA,1997-Q2,12977531.9
USA,1997-Q3,13139565.3
USA,1997-Q4,13251758.9
IRL,1996-Q4,139943.7
USA,1999-Q2,14146539.3
USA,1999-Q3,14334105.8
CAN,1993-Q3,1027015.7
CAN,1993-Q4,1031408.7
CAN,1994-Q1,1046616.6
CAN,1996-Q4,1127216.6
CAN,1997-Q1,1142320.3
CAN,1997-Q2,1155175.4
CAN,1997-Q3,1168870.1
CAN,1997-Q4,1180166.0
CAN,1998-Q1,1196829.8
CAN,1998-Q2,1197463.6
CAN,1998-Q3,1208374.8
CAN,1998-Q4,1224747.8
CAN,1999-Q1,1246861.2
CAN,1999-Q2,1257144.8
CAN,1999-Q3,1276849.9
CAN,1999-Q4,1294737.8
CAN,2000-Q1,1315009.8
CAN,2000-Q2,1330486.8
CAN,2000-Q3,1344125.0
CAN,2000-Q4,1346783.4
CAN,1992-Q1,989574.7
CAN,1992-Q2,990702.4
CAN,1992-Q3,996068.6
CAN,1992-Q4,1001743.9
CAN,1993-Q1,1008104.2
CAN,1993-Q2,1017286.9
CAN,1990-Q1,1015714.7
CAN,1990-Q2,1011639.4
CAN,1990-Q3,1004389.3
CAN,1991-Q1,981125.5
CAN,1991-Q2,985834.5
CAN,1991-Q3,987142.0
CAN,1991-Q4,988876.6
CAN,2001-Q1,1354364.3
DEU,1999-Q3,3896218.1
DEU,1999-Q4,3914764.3
DEU,2000-Q1,3976623.5
DEU,2000-Q2,4007370.5
DEU,2000-Q3,4009810.9
DEU,2000-Q4,3992729.1
DEU,2001-Q1,4078748.1
DEU,2001-Q2,4067034.6
DEU,2001-Q3,4066546.2
DEU,2001-Q4,4054344.6
DEU,2002-Q1,4037141.4
DEU,2002-Q2,4051295.0
DEU,1990-Q4,3362982.0
DEU,1990-Q1,3220806.5
DEU,1990-Q2,3236642.0
DEU,1990-Q3,3304803.5
DEU,1994-Q2,3549580.7
DEU,1994-Q3,3570078.6
DEU,1994-Q4,3610098.5
DEU,1995-Q1,3595578.3
DEU,1995-Q2,3624862.2
DEU,1995-Q3,3631206.8
